date,value real,value linear,value est,chatgpt visits real,chatgpt linear,chatgpt est,dalle visits,dalle linear,dalle est,stabdif visits,stabdif linear,stabdif est
2023-05-01,168,168,167,2100,2100,2109000,25,25,31000,35,35,53000
2023-04-30,,169.7,171.89,,2090,2097640,,24.93333333,25424.33333,,34.86666667,39951.66667
2023-04-29,,171.4,169.547,,2080,2086640,,24.86666667,25594.96667,,34.73333333,34489.83333
2023-04-28,,173.1,175.0341,,2070,2076335,,24.8,24866.49,,34.6,36155.95
2023-04-27,,174.8,170.87023,,2060,2066442.5,,24.73333333,23008.28033,,34.46666667,34476.45167
2023-04-26,,176.5,178.811069,,2050,2053819.75,,24.66666667,24539.15077,,34.33333333,34771.26883
2023-04-25,,178.2,183.3833207,,2040,2044979.925,,24.6,24801.74523,,34.2,32646.38065
2023-04-24,,179.9,180.9449962,,2030,2036373.978,,24.53333333,24279.8569,,34.06666667,32087.58086
2023-04-23,,181.6,177.4034989,,2020,2025717.193,,24.46666667,25323.62374,,33.93333333,33483.60759
2023-04-22,,183.3,185.5310497,,2010,2015145.158,,24.4,23001.08712,,33.8,35642.08228
2023-04-21,,185,184.1593149,,2000,2004857.547,,24.33333333,23704.65947,,33.66666667,35637.29135
2023-04-20,,186.7,183.9377945,,1990,1996447.264,,24.26666667,25751.06451,,33.53333333,34888.52074
2023-04-19,,188.4,189.0613383,,1980,1986557.179,,24.2,22875.31935,,33.4,33445.55622
2023-04-18,,190.1,185.7884015,,1970,1974607.154,,24.13333333,24369.92914,,33.26666667,31584.33353
2023-04-17,,191.8,187.9965205,,1960,1962382.146,,24.06666667,25324.64541,,33.13333333,33803.63339
2023-04-16,,193.5,188.8489561,,1950,1955614.644,,24,24308.39362,,33,33283.09002
2023-04-15,,195.2,195.2946868,,1940,1945560.393,,23.93333333,25846.85142,,32.86666667,32491.59367
2023-04-14,,196.9,191.4184061,,1930,1933075.118,,23.86666667,23955.72209,,32.73333333,32485.81143
2023-04-13,,198.6,193.4455218,,1920,1922953.535,,23.8,24990.71663,,32.6,32607.74343
2023-04-12,,200.3,200.2436565,,1910,1912058.061,,23.73333333,23951.54832,,32.46666667,32417.9897
2023-04-11,,202,197.473097,,1900,1904220.418,,23.66666667,25499.13116,,32.33333333,31891.73024
2023-04-10,,203.7,201.8319291,,1890,1895689.125,,23.6,23099.73935,,32.2,32499.51907
2023-04-09,,205.4,203.3295787,,1880,1883377.738,,23.53333333,25029.25514,,32.06666667,32251.52239
2023-04-08,,207.1,207.9688736,,1870,1872065.321,,23.46666667,23527.44321,,31.93333333,31364.79005
2023-04-07,,208.8,207.5506621,,1860,1863280.596,,23.4,25100.23296,,31.8,32449.43701
2023-04-06,,210.5,213.6151986,,1850,1852393.179,,23.33333333,23941.40322,,31.66666667,32267.49777
2023-04-05,,212.2,209.6245596,,1840,1844810.954,,23.26666667,23538.08763,,31.53333333,30943.58266
2023-04-04,,213.9,216.6173679,,1830,1834574.286,,23.2,24349.42629,,31.4,30827.0748
2023-04-03,,215.6,220.9052104,,1820,1823526.286,,23.13333333,21595.16122,,31.26666667,33119.78911
2023-04-02,,217.3,220.3815631,,1810,1814939.886,,23.06666667,21542.21503,,31.13333333,31348.27007
2023-04-01,219,219,215.4144689,1800,1800,1802604.966,23,23,23774.66451,31,31,32486.48102
2023-03-31,,220.3666667,223.8810073,,1793.333333,1795470.823,,22.93333333,22951.73269,,30.96666667,30503.61097
2023-03-30,,221.7333333,218.3776355,,1786.666667,1790939.914,,22.86666667,20912.18647,,30.93333333,30061.41663
2023-03-29,,223.1,224.6832907,,1780,1783527.974,,22.8,22295.65594,,30.9,30777.42499
2023-03-28,,224.4666667,229.5316539,,1773.333333,1774518.726,,22.73333333,22971.03012,,30.86666667,32071.89416
2023-03-27,,225.8333333,222.9428295,,1766.666667,1770744.284,,22.66666667,23802.9757,,30.83333333,29976.90158
2023-03-26,,227.2,225.9228488,,1760,1761485.285,,22.6,22023.89271,,30.8,32310.07047
2023-03-25,,228.5666667,224.7735213,,1753.333333,1753890.919,,22.53333333,23070.50115,,30.76666667,30326.68781
2023-03-24,,229.9333333,228.3853897,,1746.666667,1749051.942,,22.46666667,23308.81701,,30.73333333,28983.33968
2023-03-23,,231.3,227.4256169,,1740,1741850.583,,22.4,24232.6451,,30.7,30668.0019
2023-03-22,,232.6666667,234.0943517,,1733.333333,1736769.508,,22.33333333,24261.12686,,30.66666667,30355.06724
2023-03-21,,234.0333333,237.0516389,,1726.666667,1728428.519,,22.26666667,23487.00473,,30.63333333,31206.8535
2023-03-20,,235.4,239.8954917,,1720,1722363.556,,22.2,23842.10142,,30.6,28946.05605
2023-03-19,,236.7666667,237.7053142,,1713.333333,1715411.4,,22.13333333,23876.96376,,30.56666667,31525.48348
2023-03-18,,238.1333333,236.0049276,,1706.666667,1709892.087,,22.06666667,21651.75579,,30.53333333,28944.97838
2023-03-17,,239.5,238.4514783,,1700,1702644.626,,22,20007.52674,,30.5,28671.49351
2023-03-16,,240.8666667,243.1421101,,1693.333333,1697323.721,,21.93333333,19742.59135,,30.46666667,31219.11472
2023-03-15,,242.2333333,237.5059664,,1686.666667,1690984.783,,21.86666667,22115.44407,,30.43333333,29612.06775
2023-03-14,,243.6,245.7717899,,1680,1683148.435,,21.8,23768.63322,,30.4,30315.62032
2023-03-13,,244.9666667,241.2082036,,1673.333333,1676633.864,,21.73333333,24207.9233,,30.36666667,29677.35276
2023-03-12,,246.3333333,241.7957944,,1666.666667,1669130.826,,21.66666667,22874.04366,,30.33333333,28292.53916
2023-03-11,,247.7,247.9287383,,1660,1661327.248,,21.6,21449.2131,,30.3,28888.76175
2023-03-10,,249.0666667,245.7252882,,1653.333333,1657681.508,,21.53333333,21897.09726,,30.26666667,28952.29519
2023-03-09,,250.4333333,249.0209198,,1646.666667,1649142.119,,21.46666667,22772.79585,,30.23333333,29591.02189
2023-03-08,,251.8,245.9662759,,1640,1643317.636,,21.4,20976.83875,,30.2,29135.30657
2023-03-07,,253.1666667,250.0065494,,1633.333333,1635222.624,,21.33333333,20911.38496,,30.16666667,30053.25864
2023-03-06,,254.5333333,255.1752982,,1626.666667,1628491.454,,21.26666667,20563.08215,,30.13333333,31904.31092
2023-03-05,,255.9,255.6825895,,1620,1623005.436,,21.2,21259.92465,,30.1,31681.29328
2023-03-04,,257.2666667,251.7914435,,1613.333333,1617796.964,,21.13333333,20353.31073,,30.06666667,31912.05465
2023-03-03,,258.6333333,257.5807664,,1606.666667,1610854.756,,21.06666667,19827.65988,,30.03333333,30869.94973
2023-03-02,,260,255.2742299,,1600,1602662.427,,21,19630.29797,,30,29517.98492
2023-03-01,260,260,254.582269,1600,1600,1600719.728,21,21,19352.08939,30,30,30388.39548
2023-02-28,,260.9,261.0046807,,1580,1587062.918,,20.9,20899.62682,,29.76666667,27960.18531
2023-02-27,,261.8,256.5614042,,1560,1567249.876,,20.8,18924.88805,,29.53333333,30808.38893
2023-02-26,,262.7,261.8584213,,1540,1546846.963,,20.7,21434.46641,,29.3,30892.51668
2023-02-25,,263.6,259.0775264,,1520,1528090.089,,20.6,21979.33992,,29.06666667,30843.42167
2023-02-24,,264.5,263.8732579,,1500,1507749.027,,20.5,21404.80198,,28.83333333,28219.35983
2023-02-23,,265.4,260.9419774,,1480,1489681.708,,20.4,19004.44059,,28.6,29208.80795
2023-02-22,,266.3,262.6925932,,1460,1469780.512,,20.3,20229.33218,,28.36666667,29038.30905
2023-02-21,,267.2,269.847778,,1440,1450375.154,,20.2,21635.79965,,28.13333333,30227.82605
2023-02-20,,268.1,264.6243334,,1420,1429270.546,,20.1,20925.7399,,27.9,28841.34781
2023-02-19,,269,265.6873,,1400,1409885.164,,20,20603.72197,,27.66666667,26136.07101
2023-02-18,,269.9,268.63619,,1380,1388083.549,,19.9,18716.11659,,27.43333333,26799.15464
2023-02-17,,270.8,269.150857,,1360,1366986.065,,19.8,18536.83498,,27.2,28414.74639
2023-02-16,,271.7,268.9352571,,1340,1348885.819,,19.7,17698.05049,,26.96666667,27390.09058
2023-02-15,,272.6,273.5005771,,1320,1329635.746,,19.6,19593.41515,,26.73333333,26141.36051
2023-02-14,,273.5,276.5001731,,1300,1307349.724,,19.5,19045.02454,,26.5,25476.40815
2023-02-13,,274.4,274.0300519,,1280,1289792.917,,19.4,19876.50736,,26.26666667,28009.58911
2023-02-12,,275.3,277.9190156,,1260,1270680.875,,19.3,18450.95221,,26.03333333,25995.21007
2023-02-11,,276.2,274.7157047,,1240,1247293.263,,19.2,20152.28566,,25.8,25074.56302
2023-02-10,,277.1,278.3847114,,1220,1227123.979,,19.1,19430.6857,,25.56666667,24316.03557
2023-02-09,,278,277.1154134,,1200,1207723.194,,19,17361.20571,,25.33333333,26547.14401
2023-02-08,,278.9,274.364624,,1180,1188322.958,,18.9,18440.36171,,25.1,24047.1432
2023-02-07,,279.8,279.1693872,,1160,1169573.887,,18.8,18493.10851,,24.86666667,23397.80963
2023-02-06,,280.7,281.2408162,,1140,1149606.166,,18.7,20581.93255,,24.63333333,25738.67622
2023-02-05,,281.6,279.4922448,,1120,1129647.85,,18.6,18352.57977,,24.4,26768.60287
2023-02-04,,282.5,278.5976735,,1100,1109434.355,,18.5,17787.77393,,24.16666667,24683.24753
2023-02-03,,283.4,285.959302,,1080,1090695.306,,18.4,17814.33218,,23.93333333,22695.30759
2023-02-02,,284.3,283.7977906,,1060,1071083.592,,18.3,18603.29965,,23.7,22362.59228
2023-02-01,287,287,282.0393372,1000,1000,1023310.078,18,18,19867.9899,23,23,24621.77768
2023-01-31,,287.3666667,288.7684678,,987.2,999801.0233,,18.2,19269.39697,,23.1,24531.5333
2023-01-30,,287.7333333,283.0438737,,974.4,983617.307,,18.4,16925.81909,,23.2,21716.45999
2023-01-29,,288.1,289.5831621,,961.6,969524.1921,,18.6,16622.74573,,23.3,23093.938
2023-01-28,,288.4666667,283.8016153,,948.8,953993.2576,,18.8,17795.82372,,23.4,25133.1814
2023-01-27,,288.8333333,287.3238179,,936,940063.9773,,19,19486.74712,,23.5,23818.95442
2023-01-26,,289.2,283.6371454,,923.2,930249.1932,,19.2,19344.02413,,23.6,25146.68633
2023-01-25,,289.5666667,282.7878103,,910.4,915530.758,,19.4,21103.20724,,23.7,22292.0059
2023-01-24,,289.9333333,289.7896764,,897.6,902777.2274,,19.6,21559.96217,,23.8,23621.60177
2023-01-23,,290.3,288.1469029,,884.8,891707.1682,,19.8,22182.98865,,23.9,23843.48053
2023-01-22,,290.6666667,287.9107375,,872,879207.1505,,20,20869.8966,,24,24528.04416
2023-01-21,,291.0333333,285.0965546,,859.2,864358.1451,,20.2,19469.96898,,24.1,23177.41325
2023-01-20,,291.4,291.5089664,,846.4,849798.4435,,20.4,20304.99069,,24.2,25504.22397
2023-01-19,,291.7666667,293.6893566,,833.6,839558.5331,,20.6,20850.49721,,24.3,23425.26719
2023-01-18,,292.1333333,293.6001403,,820.8,827820.5599,,20.8,20394.14916,,24.4,23276.58016
2023-01-17,,292.5,294.8300421,,808,814053.168,,21,21101.24475,,24.5,22346.97405
2023-01-16,,292.8666667,290.4556793,,795.2,800944.9504,,21.2,22122.37342,,24.6,23595.09221
2023-01-15,,293.2333333,292.4000371,,782.4,788041.4851,,21.4,23279.71203,,24.7,24909.52766
2023-01-14,,293.6,293.2400111,,769.6,773168.4455,,21.6,21241.91361,,24.8,25596.8583
2023-01-13,,293.9666667,294.74867,,756.8,759896.5337,,21.8,20705.57408,,24.9,23725.05749
2023-01-12,,294.3333333,293.4579343,,744,748967.9601,,22,22807.67222,,25,26479.51725
2023-01-11,,294.7,298.3273803,,731.2,735591.388,,22.2,21812.30167,,25.1,27215.85517
2023-01-10,,295.0666667,296.0448808,,718.4,724526.4164,,22.4,20725.6905,,25.2,24514.75655
2023-01-09,,295.4333333,295.6167976,,705.6,710311.9249,,22.6,23468.70715,,25.3,26235.42697
2023-01-08,,295.8,296.7450393,,692.8,696206.5775,,22.8,23419.61215,,25.4,27375.62809
2023-01-07,,296.1666667,292.3401784,,680,685800.9732,,23,21903.88364,,25.5,26844.68843
2023-01-06,,296.5333333,294.2753869,,667.2,672210.292,,23.2,20846.16509,,25.6,26115.40653
2023-01-05,,296.9,299.1126161,,654.4,660084.0876,,23.4,23483.84953,,25.7,25600.62196
2023-01-04,,297.2666667,295.8204515,,641.6,649033.2263,,23.6,22357.15486,,25.8,24101.18659
2023-01-03,,297.6333333,302.0894688,,628.8,633303.9679,,23.8,24577.14646,,25.9,26539.35598
2023-01-02,,298,302.2268406,,616,622965.1904,,24,24761.14394,,26,27328.80679
2023-01-01,298,298,294.2680522,616,616,619636.5571,24,24,25993.34318,26,26,25832.64204
2022-12-31,,298.9666667,293.5570823,,604.3333333,607107.3005,,24.03333333,24548.33629,,26.1,27132.79261
2022-12-30,,299.9333333,299.020458,,592.6666667,596460.8568,,24.06666667,25669.16755,,26.2,27141.83778
2022-12-29,,300.9,298.3361374,,581,584827.257,,24.1,25173.75027,,26.3,25032.55134
2022-12-28,,301.8666667,299.8075079,,569.3333333,573211.5104,,24.13333333,23191.45841,,26.4,25514.7654
2022-12-27,,302.8333333,303.9255857,,557.6666667,563989.1198,,24.16666667,24072.10419,,26.5,25972.42962
2022-12-26,,303.8,299.8376757,,546,550728.7359,,24.2,25000.63126,,26.6,27788.72889
2022-12-25,,304.7666667,304.2879694,,534.3333333,537587.9541,,24.23333333,23349.52271,,26.7,26456.61867
2022-12-24,,305.7333333,303.2997241,,522.6666667,527010.0529,,24.26666667,22121.52348,,26.8,25818.9856
2022-12-23,,306.7,305.6799172,,511,514680.0159,,24.3,23229.45704,,26.9,25630.69568
2022-12-22,,307.6666667,311.0706418,,499.3333333,502087.3381,,24.33333333,22120.17045,,27,26218.2087
2022-12-21,,308.6333333,304.3645259,,487.6666667,491298.8681,,24.36666667,23380.7178,,27.1,28073.46261
2022-12-20,,309.6,304.0293578,,476,479965.6604,,24.4,25558.21534,,27.2,29323.03878
2022-12-19,,310.5666667,308.605474,,464.3333333,469603.0315,,24.43333333,25485.79794,,27.3,28521.91164
2022-12-18,,311.5333333,309.6549755,,452.6666667,459146.5761,,24.46666667,26262.40605,,27.4,29495.57349
2022-12-17,,312.5,315.6464927,,441,448421.9728,,24.5,25353.72181,,27.5,29873.67205
2022-12-16,,313.4666667,316.1206145,,429.3333333,433936.9252,,24.53333333,25619.44988,,27.6,27863.10161
2022-12-15,,314.4333333,313.9395177,,417.6666667,421564.7442,,24.56666667,23517.50163,,27.7,28307.93048
2022-12-14,,315.4,309.9618553,,406,411360.4233,,24.6,23626.25049,,27.8,29142.37915
2022-12-13,,316.3666667,317.4452233,,394.3333333,400991.4603,,24.63333333,23213.20848,,27.9,26755.71374
2022-12-12,,317.3333333,318.3669003,,382.6666667,387290.1048,,24.66666667,24524.62921,,28,27089.71412
2022-12-11,,318.3,313.3200701,,371,375177.0314,,24.7,24672.38876,,28.1,27429.91424
2022-12-10,,319.2666667,319.4826877,,359.3333333,366027.4428,,24.73333333,23260.04996,,28.2,29437.97427
2022-12-09,,320.2333333,323.0081396,,347.6666667,352988.8995,,24.76666667,23358.68166,,28.3,27108.39228
2022-12-08,,321.2,326.7424419,,336,340270.6698,,24.8,25626.6045,,28.4,29815.51768
2022-12-07,,322.1666667,327.5393992,,324.3333333,330593.5343,,24.83333333,25661.31468,,28.5,28968.65531
2022-12-06,,323.1333333,326.4551531,,312.6666667,317778.727,,24.86666667,24273.06107,,28.6,27084.59659
2022-12-05,,324.1,320.8065459,,301,305640.6181,,24.9,24595.91832,,28.7,26924.37898
2022-12-04,,325.0666667,326.7886304,,289.3333333,295625.5188,,24.93333333,24294.10883,,28.8,29390.31369
2022-12-03,,326.0333333,323.2599225,,277.6666667,283120.3223,,24.96666667,24233.89932,,28.9,29014.09411
2022-12-02,,327,327.8779767,,266,271330.0967,,25,24177.16979,,29,27749.22823
2022-12-01,327,327,332.263393,266,266,269263.029,25,25,23917.15094,29,29,30529.76847
2022-11-30,,326.6,333.2990179,,262.2233333,265711.242,,24.86666667,24899.81195,,28.86666667,30053.59721
2022-11-29,,326.2,329.3297054,,258.4466667,262260.0393,,24.73333333,24191.27692,,28.73333333,29294.4125
2022-11-28,,325.8,328.8589116,,254.67,254962.0118,,24.6,24371.38308,,28.6,28218.32375
2022-11-27,,325.4,329.4376735,,250.8933333,251056.9369,,24.46666667,24817.08159,,28.46666667,28340.16379
2022-11-26,,325,330.331302,,247.1166667,247742.7477,,24.33333333,24943.45781,,28.33333333,29772.38247
2022-11-25,,324.6,327.3193906,,243.34,242790.8243,,24.2,26277.03734,,28.2,28607.71474
2022-11-24,,324.2,328.1358172,,239.5633333,238843.5806,,24.06666667,25286.77787,,28.06666667,29514.98109
2022-11-23,,323.8,321.1007452,,235.7866667,238527.7409,,23.93333333,25085.36669,,27.93333333,26484.82766
2022-11-22,,323.4,320.7102235,,232.01,234817.3223,,23.8,25951.61001,,27.8,26794.4483
2022-11-21,,323,325.3130671,,228.2333333,229695.53,,23.66666667,23120.14967,,27.66666667,27113.00116
2022-11-20,,322.6,321.4139201,,224.4566667,226003.3257,,23.53333333,22896.37823,,27.53333333,28109.23368
2022-11-19,,322.2,319.964176,,220.68,221535.9977,,23.4,24881.91347,,27.4,26687.7701
2022-11-18,,321.8,317.2492528,,216.9033333,219109.1326,,23.26666667,24855.24071,,27.26666667,25507.9977
2022-11-17,,321.4,322.1547758,,213.1266667,215808.4065,,23.13333333,25322.90555,,27.13333333,26716.73264
2022-11-16,,321,324.3464328,,209.35,209908.5219,,23,24838.87166,,27,25834.01979
2022-11-15,,320.6,320.7239298,,205.5733333,208193.8899,,22.86666667,25295.32817,,26.86666667,27473.8726
2022-11-14,,320.2,323.3571789,,201.7966667,204999.8336,,22.73333333,22902.93178,,26.73333333,26792.49511
2022-11-13,,319.8,325.8671537,,198.02,199600.9501,,22.6,23345.87953,,26.6,27597.74853
2022-11-12,,319.4,320.3401461,,194.2433333,195504.6184,,22.46666667,23961.43053,,26.46666667,25919.99123
2022-11-11,,319,314.4020438,,190.4666667,190440.0522,,22.33333333,24260.76249,,26.33333333,27504.3307
2022-11-10,,318.6,314.3406131,,186.69,187208.0157,,22.2,22994.22875,,26.2,26520.29921
2022-11-09,,318.2,316.0421839,,182.9133333,185029.738,,22.06666667,21495.93529,,26.06666667,25446.75643
2022-11-08,,317.8,313.2726552,,179.1366667,181347.5881,,21.93333333,22884.11392,,25.93333333,25280.36026
2022-11-07,,317.4,316.1617966,,175.36,176923.2764,,21.8,24120.23418,,25.8,24183.10808
2022-11-06,,317,313.748539,,171.5833333,175120.3163,,21.66666667,23826.73692,,25.66666667,23258.59909
2022-11-05,,316.6,318.7445617,,167.8066667,170995.7615,,21.53333333,23619.35441,,25.53333333,26317.91306
2022-11-04,,316.2,314.9633685,,164.03,165845.7285,,21.4,21999.80632,,25.4,26979.37392
2022-11-03,,315.8,313.5490106,,160.2533333,161975.0519,,21.26666667,21243.60856,,25.26666667,27170.47884
2022-11-02,,315.4,314.8447032,,156.4766667,158909.1822,,21.13333333,19322.4159,,25.13333333,25455.47699
2022-11-01,315,315,317.9534109,152.7,152.7,152859.7547,21,21,21636.72477,25,25,25357.6431
2022-10-31,,314.7333333,315.6993566,,,,,21.16666667,19782.6841,,25.26666667,27140.9596
2022-10-30,,314.4666667,315.8364737,,,,,21.33333333,20269.13856,,25.53333333,25512.62121
2022-10-29,,314.2,315.6909421,,,,,21.5,20196.74157,,25.8,24511.78636
2022-10-28,,313.9333333,310.460616,,,,,21.66666667,19654.68914,,26.06666667,24116.20258
2022-10-27,,313.6666667,307.7048515,,,,,21.83333333,22083.74007,,26.33333333,26960.19411
2022-10-26,,313.4,310.6914554,,,,,22,22078.12202,,26.6,26732.05823
2022-10-25,,313.1333333,314.40077,,,,,22.16666667,21760.10327,,26.86666667,24992.28414
